# Assembly name:  iqSchGreg1.2
# Organism name:  Schistocerca gregaria (desert locust)
# Isolate:  iqSchGreg1
# Sex:  male
# Taxid:          7010
# BioSample:      SAMN23383904
# BioProject:     PRJNA782545
# Submitter:      United States Department of Agriculture
# Date:           2022-06-24
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKZLS01
# Assembly method: HiFiASM v. 0.13-r308
# Expected final version: yes
# Genome coverage: 41x
# Sequencing technology: PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_023897955.2
# RefSeq assembly accession: GCF_023897955.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_023898265.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023898285.2	GCF_023898285.1	Primary Assembly
## GCA_023898335.1	GCF_023898335.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chromosome1	assembled-molecule	1	Chromosome	CM043598.1	=	NC_064920.1	Primary Assembly	1209568729	na
Chromosome2	assembled-molecule	2	Chromosome	CM043599.1	=	NC_064921.1	Primary Assembly	1055696580	na
Chromosome3	assembled-molecule	3	Chromosome	CM043600.1	=	NC_064922.1	Primary Assembly	960491202	na
Chromosome4	assembled-molecule	4	Chromosome	CM043601.1	=	NC_064923.1	Primary Assembly	791150472	na
Chromosome5	assembled-molecule	5	Chromosome	CM043602.1	=	NC_064924.1	Primary Assembly	676154743	na
Chromosome6	assembled-molecule	6	Chromosome	CM043603.1	=	NC_064925.1	Primary Assembly	594873984	na
Chromosome7	assembled-molecule	7	Chromosome	CM043604.1	=	NC_064926.1	Primary Assembly	574732873	na
Chromosome8	assembled-molecule	8	Chromosome	CM043605.1	=	NC_064927.1	Primary Assembly	510884443	na
Chromosome9	assembled-molecule	9	Chromosome	CM043606.1	=	NC_064928.1	Primary Assembly	263615207	na
Chromosome10	assembled-molecule	10	Chromosome	CM043607.1	=	NC_064929.1	Primary Assembly	224719788	na
Chromosome11	assembled-molecule	11	Chromosome	CM043608.1	=	NC_064930.1	Primary Assembly	157018166	na
ChromosomeX	assembled-molecule	X	Chromosome	CM043609.1	=	NC_064931.1	Primary Assembly	874623940	na
ptg000147l	unplaced-scaffold	na	na	JAKZLS010000013.1	=	NW_026061719.1	Primary Assembly	593569	na
ptg000156l	unplaced-scaffold	na	na	JAKZLS010000014.1	=	NW_026061720.1	Primary Assembly	7870297	na
ptg000159l	unplaced-scaffold	na	na	JAKZLS010000015.1	=	NW_026061721.1	Primary Assembly	3520003	na
ptg000166l	unplaced-scaffold	na	na	JAKZLS010000016.1	=	NW_026061722.1	Primary Assembly	2979737	na
ptg000167l	unplaced-scaffold	na	na	JAKZLS010000017.1	=	NW_026061723.1	Primary Assembly	1659960	na
