source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,sequence_class,original_significant_contrasts,current_significant_contrasts,newly_significant_contrasts,no_longer_significant_contrasts,figure_scope
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316823,dedicator of cytokinesis protein 9-like,dedicator of cytokinesis protein 9-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126320437,dedicator of cytokinesis protein 8-like,dedicator of cytokinesis protein 8-like,protein_coding,NW_026062097.1,ptg000720l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126295087,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126268069,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291948,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291966,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126281410,glutathione S-transferase D7-like,glutathione S-transferase D7-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126318362,vegetative catalase-like,vegetative catalase-like,protein_coding,NW_026062048.1,ptg000665l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126322593,glutathione S-transferase D4-like,glutathione S-transferase D4-like,protein_coding,NW_026062185.1,ptg000818l,unplaced-scaffold,Unplaced scaffold,0,2,2,0,Unplaced scaffold
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126328223,peroxiredoxin-1-like,peroxiredoxin-1-like,protein_coding,NW_026062445.1,ptg001104l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272143,cytochrome P450 6k1-like,cytochrome P450 6k1-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272144,cytochrome P450 6k1-like,cytochrome P450 6k1-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272799,probable cytochrome P450 6a14,probable cytochrome P450 6a14,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126281508,probable cytochrome P450 6a13,probable cytochrome P450 6a13,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126334779,defensin-1-like,defensin-1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
