"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126281410","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 83","Diet 50=4.67; Diet 83=3.53",3.81e-09,4.67,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272144","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 33","Diet 33=2.79",1.84e-05,2.79,"-"
"LOC126283788","Detoxification / oxidative stress","-","gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process","G_glu_transpept","Diet 50; Diet 33","Diet 50=2.24; Diet 33=2.13",6.48e-05,2.24,"ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100"
"LOC126270657","Detoxification / oxidative stress","Cyp18a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=2.84",0.000282,2.84,"ko00981,map00981"
"LOC126299150","Detoxification / oxidative stress","Cyp314a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-2.39; Diet 33=-1.74",0.00036,2.39,"ko00981,map00981"
"LOC126293326","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with response to oxidative stress","An_peroxidase","Diet 50; Diet 83","Diet 50=5.7; Diet 83=4.16",0.00108,5.7,"-"
"LOC126336695","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 33; Diet 50; Diet 83","Diet 33=-1.57; Diet 50=-1.45; Diet 83=-1.56",0.00129,1.57,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126282123","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 33","Diet 33=-2.45",0.002,2.45,"-"
"LOC126272724","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 50; Diet 83","Diet 50=1.97; Diet 83=1.68",0.00254,1.97,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126282119","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=-3.95",0.00271,3.95,"-"
"LOC126266714","Detoxification / oxidative stress","-","Insect allergen related repeat, nitrile-specifier detoxification","Ins_allergen_rp","Diet 50","Diet 50=-5.96",0.00296,5.96,"-"
"LOC126336735","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 33","Diet 33=-3.01",0.00428,3.01,"-"
"LOC126281404","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 33","Diet 50=-2.14; Diet 33=-1.57",0.00453,2.14,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126336722","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 50","Diet 50=-2.08",0.00503,2.08,"-"
