seqid,region_claim,taxon,isolate,mol_type,region_length_bp,n_deg_memberships,n_distinct_deg_genes,DEG_contexts,evidence_classes,n_possible_nonhost,n_repeat_mobile,n_low_information
NW_026061960.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,597154,130,126,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,56
NW_026062071.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,621335,117,114,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,58
NW_026061988.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,376478,73,72,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,36
NW_026062097.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,426281,67,67,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,32
NW_026061732.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,395514,61,60,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,21
NW_026062344.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,391542,60,60,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,32
NW_026062185.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,366495,61,59,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,31
NW_026061886.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,283099,59,58,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,31
NW_026062003.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,342834,56,56,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,27
NW_026062048.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,353118,55,53,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,25
NW_026062229.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,248508,51,50,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,23
NW_026062282.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,292790,48,48,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,23
NW_026062299.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,262043,48,47,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,18
NW_026062249.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,241426,43,43,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,23
NW_026062018.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,242317,41,41,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,13
NW_026062176.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,242820,42,40,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,19
NW_026062105.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,222873,39,39,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,21
NW_026061838.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,218639,39,38,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,19
NW_026062196.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,207904,35,35,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,16
NW_026062315.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,206002,34,34,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,19
NW_026062217.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,108767,33,33,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like,0,0,14
NW_026061953.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,216778,32,32,Diet DEGs in infected,Low-information RefSeq gene; RefSeq annotated host-like; Uncharacterized but has domains,0,0,17
NW_026062302.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,191019,33,32,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,10
NW_026062009.1,RefSeq S. gregaria unplaced genomic region,7010,iqSchGreg1,genomic DNA,188512,32,31,Diet DEGs in infected; Infection within diets,Low-information RefSeq gene; RefSeq annotated host-like,0,0,18
