DEG_context,gene_id,seqid,start,end,midpoint,strand,seq_start,seq_end,chromosome,genome,chromosome_class,region_name,region_chromosome,region_genome,taxon,isolate,mol_type,tissue_type,region_length_bp,source,gff_gene_id,gff_description,gff_biotype,gff_gbkey,Description,gene_biotype,GOs,KEGG_ko,KEGG_Pathway,PFAMs,exact_deg_contrasts,annotation_text,has_domain_annotation,origin_evidence_class,origin_screen_priority,region_claim
Infection within diets,LOC126301324,NW_026061707.1,15384783,15417961,15401372,+,1,20428078,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,20428078,Gnomon,126301324,uncharacterized LOC126301324,lncRNA,Gene,uncharacterized LOC126301324,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,uncharacterized LOC126301324 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126301637,NW_026061710.1,15072570,15392273,15232421.5,+,1,26857663,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,26857663,Gnomon,126301637,uncharacterized LOC126301637,lncRNA,Gene,uncharacterized LOC126301637,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,uncharacterized LOC126301637 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126302232,NW_026061724.1,2029757,2209733,2119745,-,1,17802503,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,17802503,Gnomon,126302232,uncharacterized LOC126302232,lncRNA,Gene,uncharacterized LOC126302232,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,uncharacterized LOC126302232 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126302226,NW_026061724.1,2048248,2099475,2073861.5,-,1,17802503,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,17802503,Gnomon,126302226,uncharacterized LOC126302226,lncRNA,Gene,uncharacterized LOC126302226,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,uncharacterized LOC126302226 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126302199,NW_026061724.1,7576817,7591260,7584038.5,+,1,17802503,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,17802503,Gnomon,126302199,uncharacterized LOC126302199,lncRNA,Gene,uncharacterized LOC126302199,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated,uncharacterized LOC126302199 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126304746,NW_026061732.1,64683,68885,66784,+,1,395514,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,395514,Gnomon,126304746,protein aubergine-like,protein_coding,Gene,protein aubergine-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,protein aubergine-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126304976,NW_026061743.1,83077,85915,84496,-,1,149608,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,149608,Gnomon,126304976,puromycin-sensitive aminopeptidase-like,protein_coding,Gene,puromycin-sensitive aminopeptidase-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,puromycin-sensitive aminopeptidase-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126304978,NW_026061743.1,86319,90936,88627.5,-,1,149608,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,149608,Gnomon,126304978,ribonucleoside-diphosphate reductase small subunit-like,protein_coding,Gene,ribonucleoside-diphosphate reductase small subunit-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,ribonucleoside-diphosphate reductase small subunit-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126305117,NW_026061762.1,3406,19934,11670,+,1,9066619,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,9066619,Gnomon,126305117,uncharacterized LOC126305117,lncRNA,Gene,uncharacterized LOC126305117,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,uncharacterized LOC126305117 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126311246,NW_026061838.1,202556,207898,205227,-,1,218639,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,218639,Gnomon,126311246,ribosome biogenesis protein BOP1 homolog,protein_coding,Gene,ribosome biogenesis protein BOP1 homolog,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,ribosome biogenesis protein BOP1 homolog | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
