"gene_id","Description","gene_biotype","comparison_type","comparison","numerator_condition","denominator_condition","higher_in","lower_in","signed_direction","log2FoldChange","lfcSE","baseMean","stat","pvalue","padj","GOs","KEGG_ko","KEGG_Pathway","PFAMs"
"LOC126278499","facilitated trehalose transporter Tret1-2 homolog","protein_coding","Diet by infection interaction","Infection response: 33 vs 50","Infection response diet 33","Infection response diet 50","Infection response diet 50","Infection response diet 33","Downregulated",-20.262121684878,2.89130709589255,15.0576448088643,-7.00794520017012,2.41843486748963e-12,2.69413644238345e-08,"","ko:K08145","","Sugar_tr"
"LOC126354529","uncharacterized LOC126354529","protein_coding","Diet by infection interaction","Infection response: 33 vs 50","Infection response diet 33","Infection response diet 50","Infection response diet 50","Infection response diet 33","Downregulated",-18.2995245177694,2.89103866828438,8.06126942022199,-6.32974049033692,2.45573865603529e-10,1.36784643141166e-06,"","","","EcKinase"
"LOC126267114","juvenile hormone acid O-methyltransferase-like","protein_coding","Diet by infection interaction","Infection response: 33 vs 50","Infection response diet 33","Infection response diet 50","Infection response diet 50","Infection response diet 33","Downregulated",-19.5832957083311,3.51498370954113,81.3626307276745,-5.5713759512381,2.52735286277668e-08,9.38490363044406e-05,"","","",""
"LOC126323151","uncharacterized LOC126323151","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",22.6195626123391,2.68976806494865,20.8400638164115,8.40948441135236,4.11816954236109e-17,4.58764087019025e-13,"","","","Attacin_C"
"LOC126278499","facilitated trehalose transporter Tret1-2 homolog","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",22.7298939327996,2.98163541853465,15.0576448088643,7.62329753379789,2.47276020126921e-14,1.37732743210695e-10,"","ko:K08145","","Sugar_tr"
"LOC126354529","uncharacterized LOC126354529","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",20.6267522562292,3.00907379336308,8.06126942022199,6.85485091848671,7.13869263663647e-12,2.65083453240434e-08,"","","","EcKinase"
"LOC126335259","sialin-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",23.1414949852548,4.59541551207976,14.5741030451483,5.03577857637113,4.75910440888553e-07,0.00132541057787462,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944","ko:K12301","ko04142,map04142","MFS_1"
"LOC126284901","cytochrome P450 6j1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 33","Infection response diet 83","Downregulated",-11.3037958757559,2.39827269616455,16.3098870781703,-4.71330716220617,2.43728374027343e-06,0.0054302681733292,NA,NA,NA,NA
"LOC126336316","thiamin pyrophosphokinase 1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 33","Infection response diet 83","Downregulated",-2.48866453678576,0.536355035935416,13.1833901430949,-4.6399574349954,3.4848094797782e-06,0.0064701296007882,"GO:0003674,GO:0003824,GO:0004788,GO:0006725,GO:0006732,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009229,GO:0009987,GO:0016740,GO:0016772,GO:0016778,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0042357,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","ko:K00949","ko00730,ko01100,map00730,map01100","TPK_B1_binding,TPK_catalytic"
"LOC126281341","uncharacterized LOC126281341","lncRNA","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",5.86998850436865,1.34734113062966,3.1928016435916,4.35672033676088,1.32025782149266e-05,0.0210109601877546,NA,NA,NA,NA
"LOC126323151","uncharacterized LOC126323151","protein_coding","Diet by infection interaction","Infection response: 83 vs 50","Infection response diet 83","Infection response diet 50","Infection response diet 83","Infection response diet 50","Upregulated",24.8837686266998,2.7269722457499,20.8400638164115,9.1250538634862,7.17005949785626e-20,7.98744628061187e-16,"","","","Attacin_C"
