"gene_id","Infection within diets","Head phase DEGs","Thorax phase DEGs","intersection"
"LOC126266590",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266593",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266596",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266597",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266599",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266610",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266613",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266623",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266629",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266641",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266649",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266652",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266657",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266662",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266665",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126266667",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266671",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266672",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266674",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266675",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266677",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266679",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266685",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266696",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126266713",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266714",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126266725",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266728",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266729",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266744",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266746",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266748",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266750",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126266752",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266759",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266760",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266765",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266767",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266779",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266785",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126266789",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266793",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266799",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266817",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266819",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266822",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266824",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266827",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266830",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266832",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266835",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266840",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266859",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266870",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126266872",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266875",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266899",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266911",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266913",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266929",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266935",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266937",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126266938",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266948",TRUE,FALSE,FALSE,"Infection within diets"
