"gene_id","Description","gene_biotype","comparison_type","comparison","numerator_condition","denominator_condition","higher_in","lower_in","signed_direction","log2FoldChange","lfcSE","baseMean","stat","pvalue","padj","GOs","KEGG_ko","KEGG_Pathway","PFAMs"
"LOC126272465","vesicular glutamate transporter 1-like","protein_coding","Diet contrasts among control","Control 33 vs 50","Control diet 33","Control diet 50","Control diet 33","Control diet 50","Upregulated",3.97686590955319,0.686162288714357,26.7730479396327,5.79580949720296,6.79924104437354e-09,0.000109107421039062,"GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0055085","ko:K08193","","MFS_1"
"LOC126354577","uncharacterized LOC126354577","protein_coding","Diet contrasts among control","Control 33 vs 50","Control diet 33","Control diet 50","Control diet 33","Control diet 50","Upregulated",5.80517653852446,1.22317840261959,237.933740494536,4.74597697775887,2.07502314374821e-06,0.0166489481938638,NA,NA,NA,NA
"LOC126356047","allantoicase-like","protein_coding","Diet contrasts among control","Control 33 vs 50","Control diet 33","Control diet 50","Control diet 33","Control diet 50","Upregulated",4.05126821896626,0.882969329877145,108.468850255734,4.58823209581917,4.47015494823837e-06,0.0239108588181271,NA,NA,NA,NA
"LOC126278052","phosphoenolpyruvate carboxykinase [GTP]-like","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 83","Control diet 33","Upregulated",6.89621819514725,0.475851992077464,897.190707190358,14.4923596201413,1.3540997980338e-47,1.87976133963052e-43,"","ko:K01596","ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko03320,ko04068,ko04151,ko04152,ko04910,ko04920,ko04922,ko04931,ko04964,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map03320,map04068,map04151,map04152,map04910,map04920,map04922,map04931,map04964","PEPCK_C,PEPCK_N"
"LOC126352958","ornithine aminotransferase%2C mitochondrial","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 83","Control diet 33","Upregulated",3.34829199346814,0.376821441684823,64.1813979176163,8.88561961468392,6.35654954034614e-19,4.41208103595426e-15,"GO:0003674,GO:0003824,GO:0004587,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006520,GO:0006591,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0009987,GO:0016740,GO:0016769,GO:0019752,GO:0019842,GO:0030170,GO:0031974,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0048037,GO:0050662,GO:0070013,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901605","ko:K00819","ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130","Aminotran_3"
"LOC126354907","fumarylacetoacetate hydrolase domain-containing protein 2","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 83","Control diet 33","Upregulated",2.08820927746984,0.251877946291482,112.065883594398,8.29056020273124,1.12716325209143e-16,5.21576008851106e-13,"","","","FAA_hydrolase"
"LOC126356047","allantoicase-like","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 33","Control diet 83","Downregulated",-7.49297551287187,0.964123390910008,108.468850255734,-7.7718013933875,7.7377707476823e-15,2.68539333798314e-11,NA,NA,NA,NA
"LOC126272465","vesicular glutamate transporter 1-like","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 33","Control diet 83","Downregulated",-5.90508463243032,0.81942942213836,26.7730479396327,-7.20633708394382,5.74770164702509e-13,1.59579188528005e-09,"GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0055085","ko:K08193","","MFS_1"
"LOC126354813","purine nucleoside phosphorylase-like","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 83","Control diet 33","Upregulated",2.47701463524992,0.351551719421086,1461.05567378718,7.04594658028958,1.84204918927025e-12,4.26188780757493e-09,"","ko:K03783","ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110","PNP_UDP_1"
"LOC126272511","uricase","protein_coding","Diet contrasts among control","Control 83 vs 33","Control diet 83","Control diet 33","Control diet 83","Control diet 33","Upregulated",3.51976785706098,0.507793268769388,393.10955755353,6.93149766555781,4.16408327732663e-12,8.25797200797832e-09,"GO:0000255,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009636,GO:0009987,GO:0010033,GO:0017144,GO:0018130,GO:0019428,GO:0034641,GO:0042221,GO:0042493,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045471,GO:0046483,GO:0046677,GO:0050896,GO:0071704,GO:0097305,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901700","ko:K00365","ko00230,ko00232,ko01100,ko01120,map00230,map00232,map01100,map01120","Uricase"
