Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124799306	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124799306	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124799306	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124799809	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124799809	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124799809	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124802570	uncharacterized protein LOC124802570	F GO:0003676 nucleic acid binding
LOC124802570	uncharacterized protein LOC124802570	P GO:0015074 DNA integration
LOC124802755	molybdenum cofactor biosynthesis protein 1-like	F GO:0003824 catalytic activity
LOC124802755	molybdenum cofactor biosynthesis protein 1-like	F GO:0051539 4 iron, 4 sulfur cluster binding
LOC124802755	molybdenum cofactor biosynthesis protein 1-like	P GO:0006777 Mo-molybdopterin cofactor biosynthetic process
LOC124802755	molybdenum cofactor biosynthesis protein 1-like	C GO:0019008 obsolete molybdopterin synthase complex
LOC124797884	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0004672 protein kinase activity
LOC124797884	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005515 protein binding
LOC124797884	ovarian-specific serine/threonine-protein kinase Lok-like	F GO:0005524 ATP binding
LOC124797884	ovarian-specific serine/threonine-protein kinase Lok-like	P GO:0006468 protein phosphorylation
LOC124712172	AH receptor-interacting protein isoform X1	F GO:0003755 peptidyl-prolyl cis-trans isomerase activity
LOC124788346	NAD(+) hydrolase sarm1 isoform X5	F GO:0005515 protein binding
LOC124800608	kanadaptin isoform X2	F GO:0005515 protein binding
LOC124805354	serine/threonine-protein kinase NLK isoform X1	F GO:0004672 protein kinase activity
LOC124805354	serine/threonine-protein kinase NLK isoform X1	F GO:0005524 ATP binding
LOC124805354	serine/threonine-protein kinase NLK isoform X1	P GO:0006468 protein phosphorylation
LOC124805337	zinc finger protein ZPR1-like isoform X1	F GO:0008270 zinc ion binding
LOC124795332	dynein axonemal light chain 1-like	F GO:0005515 protein binding
LOC124710495	phosphatidylinositol-binding clathrin assembly protein-like	P GO:0048268 clathrin coat assembly
LOC124710495	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0030276 clathrin binding
LOC124710495	phosphatidylinositol-binding clathrin assembly protein-like	C GO:0030136 clathrin-coated vesicle
LOC124710495	phosphatidylinositol-binding clathrin assembly protein-like	F GO:0005545 1-phosphatidylinositol binding
LOC124789291	carboxypeptidase E-like	F GO:0004181 metallocarboxypeptidase activity
LOC124789291	carboxypeptidase E-like	F GO:0008270 zinc ion binding
LOC124789291	carboxypeptidase E-like	P GO:0006508 proteolysis
LOC124737032	NAD-dependent protein deacetylase sirtuin-1 isoform X1	F GO:0070403 NAD+ binding
LOC124737307	40S ribosomal protein S24 isoform X3	C GO:0005840 ribosome
LOC124737307	40S ribosomal protein S24 isoform X3	F GO:0003735 structural constituent of ribosome
LOC124737307	40S ribosomal protein S24 isoform X3	P GO:0006412 translation
LOC124794779	hypothetical protein PYW07_003658	F GO:0005515 protein binding
LOC124785035	5-hydroxytryptamine receptor 1A-like	C GO:0016020 membrane
LOC124785035	5-hydroxytryptamine receptor 1A-like	F GO:0004930 G protein-coupled receptor activity
LOC124785035	5-hydroxytryptamine receptor 1A-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124787351	methionine synthase reductase-like isoform X2	F GO:0016491 oxidoreductase activity
LOC124784850	hypothetical protein B7P43_G01446	F GO:0005515 protein binding
LOC124784355	protein spinster	F GO:0022857 transmembrane transporter activity
LOC124784355	protein spinster	P GO:0055085 transmembrane transport
LOC124790459	solute carrier family 35 member G1-like	C GO:0016020 membrane
LOC124791793	geminin	P GO:0006275 regulation of DNA replication
LOC124795200	cytochrome P450 315a1, mitochondrial, partial	F GO:0004497 monooxygenase activity
LOC124795200	cytochrome P450 315a1, mitochondrial, partial	F GO:0005506 iron ion binding
LOC124795200	cytochrome P450 315a1, mitochondrial, partial	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124795200	cytochrome P450 315a1, mitochondrial, partial	F GO:0020037 heme binding
LOC124789547	target of rapamycin complex subunit lst8	F GO:0005515 protein binding
LOC124788248	calcium-binding protein E63-1 isoform X2	F GO:0005509 calcium ion binding
LOC124786266	mitochondrial import receptor subunit TOM22 homolog isoform X1	C GO:0005741 mitochondrial outer membrane
LOC124786266	mitochondrial import receptor subunit TOM22 homolog isoform X1	P GO:0006886 intracellular protein transport
LOC124783127	protein flightless-1	F GO:0051015 actin filament binding
LOC124787111	protein YIF1B isoform X1	C GO:0005789 endoplasmic reticulum membrane
LOC124787111	protein YIF1B isoform X1	P GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
LOC124787489	cystathionine beta-synthase	P GO:0006520 amino acid metabolic process
LOC124787489	cystathionine beta-synthase	P GO:0006790 sulfur compound metabolic process
LOC124787489	cystathionine beta-synthase	P GO:0009058 biosynthetic process
LOC124769377	myrosinase 1-like	F GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds
LOC124769377	myrosinase 1-like	P GO:0005975 carbohydrate metabolic process
LOC124775645	piwi-like protein Siwi	F GO:0003723 RNA binding
LOC124775645	piwi-like protein Siwi	F GO:0005515 protein binding
LOC124790113	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC124801882	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC124805046	39S ribosomal protein L19, mitochondrial	C GO:0005840 ribosome
LOC124805046	39S ribosomal protein L19, mitochondrial	F GO:0003735 structural constituent of ribosome
LOC124805046	39S ribosomal protein L19, mitochondrial	P GO:0006412 translation
LOC124794985	uncharacterized protein LOC124794985	F GO:0016491 oxidoreductase activity
LOC124780636	integral membrane protein GPR180	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124780636	integral membrane protein GPR180	P GO:0019236 response to pheromone
