"DEG_family","gene_id","Description","gene_biotype","eggNOG_Description","eggNOG_name","GOs","KEGG_ko","KEGG_Pathway","PFAMs","annotation_text","base_physiology_theme","phase_related","phase_reference_source","physiology_theme"
"Infection within diets","LOC126266596","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","protein_coding","Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process","","","ko:K00738","ko00510,ko00513,ko01100,map00510,map00513,map01100","Glyco_transf_54","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A | Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process | | Glyco_transf_54 | ko00510,ko00513,ko01100,map00510,map00513,map01100","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266610","cyclic GMP-AMP synthase-like receptor","protein_coding","Mab-21","","GO:0000166,GO:0000306,GO:0000323,GO:0000819,GO:0001666,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005819,GO:0005856,GO:0006950,GO:0006996,GO:0007049,GO:0007059,GO:0008092,GO:0008150,GO:0009628,GO:0009987,GO:0015630,GO:0015631,GO:0016020,GO:0016043,GO:0017076,GO:0019001,GO:0019003,GO:0019898,GO:0022402,GO:0030496,GO:0031090,GO:0031312,GO:0032419,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0036293,GO:0043014,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048487,GO:0050896,GO:0051233,GO:0051276,GO:0070482,GO:0071840,GO:0097159,GO:0097367,GO:0098588,GO:0098805,GO:0098813,GO:0098852,GO:1901265,GO:1901363","ko:K07955","","Mab-21","cyclic GMP-AMP synthase-like receptor | Mab-21 | | Mab-21 |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266629","uncharacterized LOC126266629","protein_coding","","","","","","","uncharacterized LOC126266629 | | | |","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126266641","serine protease snake-like","protein_coding","Trypsin-like serine protease","","GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564","ko:K20671","ko04624,map04624","Trypsin","serine protease snake-like | Trypsin-like serine protease | | Trypsin | ko04624,map04624","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266656","adipokinetic hormone/corazonin-related peptide receptor variant I-like","protein_coding","7 transmembrane receptor (rhodopsin family)","Akhr","GO:0001653,GO:0003674,GO:0004888,GO:0004930,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006629,GO:0007154,GO:0007165,GO:0007186,GO:0007218,GO:0008150,GO:0008152,GO:0008188,GO:0008528,GO:0009056,GO:0009719,GO:0009725,GO:0009987,GO:0010033,GO:0010243,GO:0016020,GO:0016021,GO:0016042,GO:0016500,GO:0017046,GO:0023052,GO:0031224,GO:0031226,GO:0032870,GO:0033218,GO:0033500,GO:0038023,GO:0042221,GO:0042277,GO:0042562,GO:0042592,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055088,GO:0055090,GO:0060089,GO:0065007,GO:0065008,GO:0070328,GO:0070887,GO:0071310,GO:0071495,GO:0071704,GO:0071944,GO:0097003,GO:0097004,GO:1901575,GO:1901652,GO:1901698,GO:1901700","ko:K04280","ko04080,ko04912,map04080,map04912","7tm_1","adipokinetic hormone/corazonin-related peptide receptor variant I-like | 7 transmembrane receptor (rhodopsin family) | Akhr | 7tm_1 | ko04080,ko04912,map04080,map04912","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","hyaluronan, chondroitin sulfate, and heparan sulfate","","GO:0000271,GO:0001667,GO:0001704,GO:0001707,GO:0001763,GO:0002009,GO:0003002,GO:0003674,GO:0003824,GO:0003979,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006024,GO:0006029,GO:0006082,GO:0006790,GO:0006807,GO:0006928,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007369,GO:0007389,GO:0007424,GO:0007427,GO:0007428,GO:0007498,GO:0007509,GO:0008078,GO:0008150,GO:0008152,GO:0008543,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009653,GO:0009719,GO:0009790,GO:0009880,GO:0009888,GO:0009987,GO:0010033,GO:0010631,GO:0015012,GO:0015014,GO:0016051,GO:0016477,GO:0016491,GO:0016614,GO:0016616,GO:0019538,GO:0023052,GO:0030166,GO:0030201,GO:0030203,GO:0030204,GO:0030206,GO:0032501,GO:0032502,GO:0033692,GO:0034637,GO:0034645,GO:0035239,GO:0035282,GO:0035295,GO:0040011,GO:0042074,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044272,GO:0044281,GO:0044344,GO:0044424,GO:0044444,GO:0044464,GO:0048332,GO:0048598,GO:0048646,GO:0048729,GO:0048731,GO:0048754,GO:0048856,GO:0048870,GO:0050650,GO:0050654,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051674,GO:0051716,GO:0055114,GO:0060429,GO:0060446,GO:0060541,GO:0060562,GO:0061138,GO:0065007,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071495,GO:0071704,GO:0071774,GO:0090130,GO:0090132,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903510","ko:K00012","ko00040,ko00053,ko00520,ko01100,map00040,map00053,map00520,map01100","UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N","UDP-glucose 6-dehydrogenase | hyaluronan, chondroitin sulfate, and heparan sulfate | | UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N | ko00040,ko00053,ko00520,ko01100,map00040,map00053,map00520,map01100","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266672","cytokine receptor-like","protein_coding","Fibronectin type 3 domain","DOME","GO:0000003,GO:0001654,GO:0001667,GO:0001745,GO:0002064,GO:0002065,GO:0002066,GO:0002376,GO:0003002,GO:0003006,GO:0003008,GO:0003674,GO:0003779,GO:0004888,GO:0004896,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006928,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007259,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007350,GO:0007389,GO:0007423,GO:0007424,GO:0007442,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0007622,GO:0007623,GO:0007626,GO:0008092,GO:0008150,GO:0008284,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009888,GO:0009987,GO:0010033,GO:0010631,GO:0016020,GO:0016324,GO:0016477,GO:0019221,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022412,GO:0022414,GO:0023052,GO:0030016,GO:0030017,GO:0030018,GO:0030154,GO:0030334,GO:0030707,GO:0030855,GO:0031674,GO:0032501,GO:0032502,GO:0032504,GO:0032879,GO:0033043,GO:0034097,GO:0035239,GO:0035282,GO:0035295,GO:0035556,GO:0038023,GO:0040011,GO:0040012,GO:0042127,GO:0042221,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044422,GO:0044424,GO:0044425,GO:0044444,GO:0044449,GO:0044459,GO:0044464,GO:0044703,GO:0044877,GO:0045177,GO:0045475,GO:0046982,GO:0046983,GO:0048468,GO:0048477,GO:0048511,GO:0048512,GO:0048513,GO:0048518,GO:0048522,GO:0048546,GO:0048565,GO:0048592,GO:0048609,GO:0048731,GO:0048749,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051015,GO:0051128,GO:0051179,GO:0051270,GO:0051493,GO:0051674,GO:0051704,GO:0051716,GO:0055123,GO:0060089,GO:0060429,GO:0060541,GO:0061525,GO:0065007,GO:0070887,GO:0071310,GO:0071345,GO:0071944,GO:0090130,GO:0090132,GO:0090596,GO:0097677,GO:0097678,GO:0097696,GO:0098590,GO:0099080,GO:0099081,GO:0099512,GO:1990782,GO:2000145","ko:K19599","ko04630,map04630","fn3","cytokine receptor-like | Fibronectin type 3 domain | DOME | fn3 | ko04630,map04630","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266675","plasminogen receptor (KT)","protein_coding","Uncharacterised conserved protein (DUF2368)","","","","","DUF2368","plasminogen receptor (KT) | Uncharacterised conserved protein (DUF2368) | | DUF2368 |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266685","proton-coupled amino acid transporter 1-like","protein_coding","Transmembrane amino acid transporter protein","","","ko:K14209","ko04138,map04138","Aa_trans","proton-coupled amino acid transporter 1-like | Transmembrane amino acid transporter protein | | Aa_trans | ko04138,map04138","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266696","uncharacterized LOC126266696","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126266696 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
