"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126281410","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50; Diet 83; Diet 33","Diet 50=4.73; Diet 83=4.29; Diet 33=2.48",2.22e-09,4.73,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126293326","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with response to oxidative stress","An_peroxidase","Diet 50; Diet 83","Diet 50=2.84; Diet 83=2.28",1.52e-06,2.84,"-"
"LOC126272144","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 33","Diet 33=2.8",1.65e-06,2.8,"-"
"LOC126299150","Detoxification / oxidative stress","Cyp314a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-2.52; Diet 33=-1.83",1.97e-05,2.52,"ko00981,map00981"
"LOC126272724","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 50; Diet 33; Diet 83","Diet 50=2.32; Diet 33=1.79; Diet 83=1.59",2.61e-05,2.32,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126336695","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33; Diet 83","Diet 50=-1.62; Diet 33=-1.55; Diet 83=-1.57",4.36e-05,1.62,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126266714","Detoxification / oxidative stress","-","Insect allergen related repeat, nitrile-specifier detoxification","Ins_allergen_rp","Diet 50","Diet 50=-3.15",0.000166,3.15,"-"
"LOC126278867","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50","Diet 50=1.37",0.000185,1.37,"-"
"LOC126320178","Detoxification / oxidative stress","CYP315A1","heme binding. It is involved in the biological process described with oxidation-reduction process","60KD_IMP,p450","Diet 50","Diet 50=-2.06",0.00026,2.06,"ko00981,map00981"
"LOC126354485","Detoxification / oxidative stress","-","Cytochrome P-450","p450","Diet 50","Diet 50=2.63",0.000355,2.63,"-"
"LOC126268099","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 83","Diet 83=2.41",0.000377,2.41,"-"
"LOC126336730","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33","Diet 50=1.84; Diet 33=1.62",0.000612,1.84,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126354172","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 33","Diet 33=-2.61",0.00161,2.61,"-"
"LOC126336735","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 33; Diet 50","Diet 33=-3.09; Diet 50=-2.56",0.00208,3.09,"-"
"LOC126272273","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50","Diet 50=-3.24",0.00239,3.24,"-"
"LOC126305900","Detoxification / oxidative stress","CYP306A1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33; Diet 50","Diet 33=-1.72; Diet 50=-1.67",0.00286,1.72,"ko00981,map00981"
"LOC126272899","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 83","Diet 50=-1.39; Diet 83=-1.45",0.00299,1.45,"-"
"LOC126270657","Detoxification / oxidative stress","Cyp18a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=2.28",0.00311,2.28,"ko00981,map00981"
"LOC126281404","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50","Diet 50=-1.88",0.00327,1.88,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126271907","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 33","Diet 33=3.1",0.00334,3.1,"-"
"LOC126272837","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33","Diet 33=3.46",0.00349,3.46,"-"
"LOC126281357","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=-3.73",0.00378,3.73,"-"
"LOC126336692","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33","Diet 50=-1.48; Diet 33=-1.43",0.00598,1.48,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126272296","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=3.04",0.00645,3.04,"-"
"LOC126282396","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 33; Diet 83; Diet 50","Diet 33=-2.44; Diet 83=-2.71; Diet 50=-2.01",0.00692,2.71,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272716","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 33","Diet 33=2.84",0.00942,2.84,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126268096","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 50","Diet 50=1.29",0.0129,1.29,"-"
"LOC126272319","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=2.26",0.0138,2.26,"-"
"LOC126281935","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 83","Diet 83=-1.63",0.0154,1.63,"-"
"LOC126282119","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50; Diet 83","Diet 50=-2.01; Diet 83=-2.15",0.018,2.15,"-"
"LOC126336722","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 50","Diet 50=-1.83",0.0198,1.83,"-"
"LOC126272683","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50; Diet 33","Diet 50=-2.98; Diet 33=-2.83",0.0202,2.98,"-"
"LOC126355825","Detoxification / oxidative stress","-","Animal haem peroxidase","An_peroxidase","Diet 83","Diet 83=1.5",0.0208,1.5,"-"
"LOC126266822","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-1.51; Diet 33=-1.35",0.0223,1.51,"-"
"LOC126284254","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 83","Diet 83=2.58",0.0224,2.58,"-"
"LOC126266725","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=1.12",0.0244,1.12,"-"
"LOC126336888","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C_3,GST_N","Diet 83","Diet 83=-2.05",0.0268,2.05,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126365969","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 50; Diet 83","Diet 50=-1.47; Diet 83=-1.51",0.0268,1.51,"-"
"LOC126283788","Detoxification / oxidative stress","-","gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process","G_glu_transpept","Diet 50","Diet 50=1.16",0.027,1.16,"ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100"
"LOC126282422","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50","Diet 50=1.25",0.028,1.25,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126335045","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=-2.53",0.029,2.53,"-"
"LOC126271908","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 50","Diet 50=-2.62",0.031,2.62,"-"
