gene_id	seqid	description_official	gene_biotype	DEG_context	comparisons	directions	focused_origin_audit	mapping_support	competitive_host_retained_fraction	integrated_evidence	nucleotide_support_corrected	nucleotide_groups	nucleotide_taxa	nucleotide_max_identity	nucleotide_max_query_coverage	protein_support	fresh_significant_contrasts	fresh_higher_in	fresh_max_abs_log2FC	fresh_min_padj
LOC126304978	NW_026061743.1	ribonucleoside-diphosphate reductase small subunit-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.342560537582962	2.106795866020169e-27
LOC126314456	NW_026061953.1	60S ribosomal protein L9-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Conflicting nucleotide and protein evidence	Non-metazoan only	Fungi	Linderina pennispora	66.387	34	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.815120489004837	2.106795866020169e-27
LOC126319968	NW_026062071.1	uncharacterized LOC126319968	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.20579982047416	2.106795866020169e-27
LOC126319935	NW_026062071.1	uncharacterized LOC126319935	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.065999931604434	3.1735540683541066e-27
LOC126322562	NW_026062185.1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 homolog	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	24.045781590410144	3.1735540683541066e-27
LOC126325861	NW_026062299.1	homeobox protein 3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous;Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.900410245249176	3.5903554055878205e-27
LOC126316751	NW_026061988.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Arthropod/orthopteran protein support only	No informative external hit					Broader arthropod support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.73801677615627	3.759276859622354e-27
LOC126317118	NW_026062009.1	serine/threonine-protein phosphatase 4 catalytic subunit-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous;Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.760472654768805	4.952010012843458e-27
LOC126328051	NW_026062425.1	WD40 repeat-containing protein SMU1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Conflicting nucleotide and protein evidence	Non-metazoan only	Plants	Chlamydomonas reinhardtii	67.413	34	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.163957029459482	9.724830389029584e-27
LOC126326506	NW_026062344.1	uncharacterized LOC126326506	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.800277907567217	1.3670980130294323e-26
