gene_id,description_gff,source_sheet,umbrella,subcategory,seqid,homology_evidence,evidence_tier,nucleotide_groups,nucleotide_taxa,nucleotide_max_identity,nucleotide_max_query_coverage,protein_support,contrast_label,oriented_log2FC,padj,status,higher_expression_condition
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,5.265079703754464,0.0129758796800725,Upregulated,Infected diet 50
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.666121861022059,0.08123020689695058,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-0.5989578427324036,0.9333640444969056,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-2.073540560176704,0.311681248502337,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,0.7795124994988323,0.9177670166526828,N.S.,Not significant
LOC126316821,dedicator of cytokinesis protein 11-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,2.0199676843499472,1,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,5.287223982057015,0.0135132286022306,Upregulated,Infected diet 50
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.364519747507811,0.08407879167631557,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-0.922704234549204,0.9333640444969056,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-3.251251703831529,0.13512805366463115,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-0.18545180598570485,0.9820919019577384,N.S.,Not significant
LOC126316823,dedicator of cytokinesis protein 9-like,Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),NW_026061988.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,1.5360365627804762,1,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 50 vs 33,6.6826956245503695,0.01064759509849474,Upregulated,Infected diet 50
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 83 vs 33,5.225974066291907,0.08123020689695058,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Infected: diet 83 vs 50,-1.456721558258463,0.9333640444969056,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 33: infected vs control,-6.329653378343457,0.03893420673547679,Downregulated,Control diet 33
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 50: infected vs control,-2.204072502595809,0.9171120431712186,N.S.,Not significant
LOC126318362,vegetative catalase-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062048.1,Concordant non-metazoan nucleotide and protein hits,Concordant nucleotide and protein flag,Other Eukaryota,Naegleria gruberi,66.422,25,Non-metazoan candidate,Diet 83: infected vs control,0.25668899350727115,1,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,6.228916437689991,0.01187712368692307,Upregulated,Infected diet 50
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,4.256884097505531,0.0983250453240716,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.9720323401844593,0.9333640444969056,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-5.676350183648588,0.04816401739399716,Downregulated,Control diet 33
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-1.4997610276272677,0.9171120431712186,N.S.,Not significant
LOC126322593,glutathione S-transferase D4-like,Immune,Detoxification,Oxidative Stress & ROS Detoxification,NW_026062185.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,-0.17120477339309728,1,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 50 vs 33,6.614814657034592,0.01067188526837507,Upregulated,Infected diet 50
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 33,5.20019875450964,0.08123020689695058,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Infected: diet 83 vs 50,-1.4146159025249518,0.9333640444969056,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 33: infected vs control,-5.334028815992644,0.04915587676935912,Downregulated,Control diet 33
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 50: infected vs control,-1.4347561618261675,0.9171120431712186,N.S.,Not significant
LOC126317104,type-3 glutamine synthetase-like,Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062009.1,Non-metazoan-only protein hits without nucleotide corroboration,Protein-only non-metazoan flag,,,,,Non-metazoan candidate,Diet 83: infected vs control,1.0792267550243069,1,N.S.,Not significant
LOC126319940,"aspartate aminotransferase, mitochondrial-like",Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,NW_026062071.1,Conflicting nucleotide and protein evidence,Conflicting nucleotide and protein evidence,Other Eukaryota,Dictyostelium purpureum,66.607,33,Mixed/ambiguous,Infected: diet 50 vs 33,6.762299565522418,0.01146138291773624,Upregulated,Infected diet 50
